z,H(z),s_H,Method
0.07,69,19.6,DA
0.1,69,12,DA
0.12,68.6,26.2,DA
0.17,83,8,DA
0.1791,75,4,DA
0.1993,75,5,DA
0.2,72.9,29.6,DA
0.24,79.69,2.65,Clustering
0.27,77,14,DA
0.28,88.8,36.6,DA
0.3,81.7,6.22,Clustering
0.31,78.17,4.74,Clustering
0.35,82.7,8.4,Clustering
0.3519,83,14,DA
0.36,79.93,3.39,Clustering
0.38,81.5,1.9,Clustering
0.3802,83,13.5,DA
0.4,95,17,DA
0.4004,77,10.2,DA
0.4247,87.1,11.2,DA
0.43,86.45,3.68,Clustering
0.44,82.6,7.8,Clustering
0.4497,92.8,12.9,DA
0.47,89,34,DA
0.4783,80.9,9,DA
0.48,97,62,DA
0.51,90.4,1.9,Clustering
0.52,94.35,2.65,Clustering
0.56,93.33,2.32,Clustering
0.57,92.9,7.8,Clustering
0.59,98.48,3.19,Clustering
0.5929,104,13,DA
0.6,87.9,6.1,Clustering
0.61,97.3,2.1,Clustering
0.64,98.82,2.99,Clustering
0.6797,92,8,DA
0.73,97.3,7,Clustering
0.7812,105,12,DA
0.8754,125,17,DA
0.88,90,40,DA
0.9,117,23,DA
1.037,154,20,DA
1.3,168,17,DA
1.363,160,33.6,DA
1.43,177,18,DA
1.53,140,14,DA
1.75,202,40,DA
1.965,186.5,50.4,DA
2.33,224,8,Clustering
2.34,222,7,Clustering
2.36,226,8,Clustering
